#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:11:00Z,1,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:13:00Z,2.8518518518518516,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:14:00Z,1,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:15:00Z,1,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:16:00Z,0.34615384615384615,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:17:00Z,0,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:18:00Z,0,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:19:00Z,0.2222222222222222,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:20:00Z,0.8148148148148148,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:21:00Z,1,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:22:00Z,1,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:23:00Z,1.0384615384615385,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:24:00Z,0.2962962962962963,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:25:00Z,0.5,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:26:00Z,0.1111111111111111,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:27:00Z,0,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:28:00Z,0.13333333333333333,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:29:00Z,0.4074074074074074,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:30:00Z,1,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:31:00Z,0,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:32:00Z,0.19230769230769232,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:33:00Z,0.42857142857142855,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:34:00Z,0.4444444444444444,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:35:00Z,0.2692307692307692,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:36:00Z,0,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:37:00Z,0.10714285714285714,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:38:00Z,0.037037037037037035,pm1,luftqualitaet
,,0,2026-06-05T07:47:28.377819893Z,2026-06-05T10:47:28.377819893Z,2026-06-05T08:39:00Z,0.3,pm1,luftqualitaet
