#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:12:18Z,3.75,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:12:45Z,2.8333333333333335,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:13:12Z,1.5,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:13:39Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:14:06Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:14:33Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:15:00Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:15:27Z,0.75,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:15:54Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:16:21Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:16:48Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:17:15Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:17:42Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:18:09Z,0.08333333333333333,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:18:36Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:19:03Z,0.4166666666666667,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:19:30Z,0.6666666666666666,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:19:57Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:20:24Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:20:51Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:21:18Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:21:45Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:22:12Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:22:39Z,1.0833333333333333,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:23:06Z,0.9166666666666666,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:23:33Z,0.4166666666666667,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:24:00Z,0.08333333333333333,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:24:27Z,0.25,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:24:54Z,0.6666666666666666,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:25:21Z,0.25,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:25:48Z,0.16666666666666666,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:26:15Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:26:42Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:27:09Z,0.08333333333333333,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:27:36Z,0.1111111111111111,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:28:03Z,0.3333333333333333,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:28:30Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:28:57Z,0.6666666666666666,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:29:24Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:29:51Z,1,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:30:18Z,0.3333333333333333,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:30:45Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:31:12Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:31:39Z,0.16666666666666666,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:32:06Z,0.2727272727272727,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:32:33Z,0.4444444444444444,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:33:00Z,0.5,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:33:27Z,0.75,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:33:54Z,0,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:34:21Z,0.25,pm1,luftqualitaet
,,0,2026-06-05T08:12:00Z,2026-06-05T10:54:00Z,2026-06-05T08:34:48Z,0.14285714285714285,pm1,luftqualitaet
